time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,16,7,0,0
2026-05-17 00:00:00+00:00,23,7,0,0
2026-05-18 00:00:00+00:00,25,8,0,0
2026-05-19 00:00:00+00:00,11,6,1,1
2026-05-20 00:00:00+00:00,18,8,2,2
2026-05-21 00:00:00+00:00,13,4,1,1
2026-05-22 00:00:00+00:00,17,7,1,1
2026-05-23 00:00:00+00:00,4,4,0,0
2026-05-24 00:00:00+00:00,33,11,0,0
2026-05-25 00:00:00+00:00,20,7,0,0
2026-05-26 00:00:00+00:00,23,10,0,0
2026-05-27 00:00:00+00:00,8,3,2,1
2026-05-28 00:00:00+00:00,30,11,0,0
2026-05-29 00:00:00+00:00,18,8,0,0
