time_iso8601,stars_cumulative
2024-11-15 00:00:00+00:00,1
2024-11-18 00:00:00+00:00,2
2024-11-19 00:00:00+00:00,3
2024-11-21 00:00:00+00:00,4
2024-11-29 00:00:00+00:00,5
2024-12-02 00:00:00+00:00,6
2024-12-06 00:00:00+00:00,7
2024-12-09 00:00:00+00:00,8
2024-12-10 00:00:00+00:00,9
2024-12-11 00:00:00+00:00,10
2024-12-17 00:00:00+00:00,11
2025-01-17 00:00:00+00:00,12
2025-02-13 00:00:00+00:00,13
2025-02-20 00:00:00+00:00,14
2025-04-09 00:00:00+00:00,15
2025-06-26 00:00:00+00:00,16
2025-10-16 00:00:00+00:00,17
2026-04-24 00:00:00+00:00,18
